ID,_Type,_Name,_Image,_Disable_Left,_Disable_Top,_Disable_Right,_Disable_Bottom,_Enable_Left,_Enable_Top,_Enable_Right,_Enable_Bottom,_MouseOver_Left,_MouseOver_Top,_MouseOver_Right,_MouseOver_Bottom,_Click_Left,_Click_Top,_Click_Right,_Click_Bottom,_Select_Left,_Select_Top,_Select_Right,_Select_Bottom,_PullDown_Enable_Left,_PullDown_Enable_Top,_PullDown_Enable_Right,_PullDown_Enable_Bottom,_PullDown_MouseOver_Left,_PullDown_MouseOver_Top,_PullDown_MouseOver_Right,_PullDown_MouseOver_Bottom,_PullDown_Click_Left,_PullDown_Click_Top,_PullDown_Click_Right,_PullDown_Click_Bottom,_PullDown_Select_Left,_PullDown_Select_Top,_PullDown_Select_Right,_PullDown_Select_Bottom,_Disable_Red,_Disable_Green,_Disable_Blue,_Enable_Red,_Enable_Green,_Enable_Blue,_MouseOver_Red,_MouseOver_Green,_MouseOver_Blue,_Click_Red,_Click_Green,_Click_Blue,_Select_Red,_Select_Green,_Select_Blue,_PullDown_Enable_Red,_PullDown_Enable_Green,_PullDown_Enable_Blue,_PullDown_MouseOver_Red,_PullDown_MouseOver_Green,_PullDown_MouseOver_Blue,_PullDown_Click_Red,_PullDown_Click_Green,_PullDown_Click_Blue,_PullDown_Select_Red,_PullDown_Select_Green,_PullDown_Select_Blue,_Bold,_Horizontal_Align,_Vertical_Align,_Left_Margin
100,1,蛔晝 ル衛,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
110,2,蛔晝 ル衛,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
200,1,晦蟾 雖衝,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
210,2,"鼻ж謝辦 檜翕,嗨晦",DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
220,2,"薄Щ,導晦,鄹晦",DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
230,2,"擒奢問,鬼奢問",DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
240,2,晦獄 欽蹴酈,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
250,2,襬蝸煜 蛔煙徹,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
260,2,鼻鷓璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
270,2,嬴檜蠱璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
